Column1,Column2,Column3
-195.1201987,-486.0776504,22.222222
-195.287907,-487.0779092,22.222222
-195.4553922,-488.0824969,22.222222
-195.6226418,-489.091332,22.222222
-195.7896434,-490.1043334,22.222222
-195.9563846,-491.1214198,22.222222
-196.122853,-492.1425098,22.222222
-196.289036,-493.1675222,22.222222
-196.4549214,-494.1963757,22.222222
-196.6204967,-495.2289891,22.222222
-196.7857493,-496.265281,22.222222
-196.950667,-497.3051702,22.222222
-197.1065846,-498.2935731,22.222222
-197.2621798,-499.2850624,22.222222
-197.417442,-500.2795692,22.222222
-197.5723607,-501.2770244,22.222222
-197.7269254,-502.2773587,22.222222
-197.8811254,-503.2805032,22.222222
-198.0349503,-504.2863886,22.222222
-198.1883893,-505.294946,22.222222
-198.341432,-506.3061061,22.222222
-198.4940679,-507.3197999,22.222222
-198.6462862,-508.3359583,22.222222
-198.7980765,-509.3545121,22.222222
-198.9494282,-510.3753924,22.222222
-199.1003308,-511.3985298,22.222222
-199.2507736,-512.4238554,22.222222
-199.4007461,-513.4513001,22.222222
-199.5502377,-514.4807946,22.222222
-199.6992379,-515.51227,22.222222
-199.8477361,-516.5456571,22.222222
-199.9957218,-517.5808869,22.222222
-200.1431843,-518.6178901,22.222222
-200.2901131,-519.6565977,22.222222
-200.4364976,-520.6969406,22.222222
-200.5823273,-521.7388497,22.222222
-200.7275916,-522.7822558,22.222222
-200.87228,-523.8270899,22.222222
-201.0163818,-524.8732829,22.16965418
-201.1598865,-525.9207656,22.11702681
-201.3027835,-526.9694689,22.06434332
-201.4371743,-527.9609695,22.0145383
-201.5710048,-528.953439,21.96468921
-201.7042661,-529.9468193,21.91479897
-201.8369491,-530.941052,21.86487049
-201.9690452,-531.9360789,21.81490668
-202.1005453,-532.931842,21.76491044
-202.2314405,-533.9282828,21.71488467
-202.3617219,-534.9253433,21.6648323
-202.4913808,-535.9229652,21.61475622
-202.620408,-536.9210903,21.56465934
-202.7487948,-537.9196603,21.51454457
-202.8765322,-538.9186171,21.46441482
-203.0036114,-539.9179024,21.41427299
-203.1300234,-540.917458,21.36412199
-203.2557593,-541.9172257,21.31396473
-203.3808103,-542.9171474,21.2638041
-203.5051673,-543.9171646,21.21364303
-203.6288217,-544.9172193,21.16348441
-203.7517643,-545.9172533,21.11333116
-203.8739864,-546.9172082,21.06318617
-203.995479,-547.917026,21.01305235
-204.1162332,-548.9166483,20.96293261
-204.2362402,-549.916017,20.91282985
-204.3554909,-550.9150738,20.86274699
-204.4739766,-551.9137605,20.81268691
